roll (x), pitch (y)
35.26,35.26
1.15,10.54
1.08,10.48
1.17,10.42
1.22,10.4
1.29,10.34
1.23,10.26
1.23,10.29
1.24,10.3
1.24,10.36
1.25,10.38
1.2,10.41
1.21,10.38
1.22,10.36
1.21,10.32
1.21,10.32
1.2,10.32
1.27,10.36
1.32,10.43
1.38,10.49
1.41,10.53
1.46,10.58
1.51,10.6
1.53,10.66
1.55,10.67
1.58,10.68
1.59,10.67
1.61,10.71
1.61,10.73
1.6,10.77
1.6,10.79
1.6,10.8
1.6,10.8
1.61,10.8
1.62,10.79
1.63,10.8
1.64,10.82
1.64,10.83
1.65,10.85
1.67,10.87
1.68,10.87
1.69,10.89
1.71,10.9
1.73,10.91
1.73,10.93
1.74,10.94
1.74,10.95
1.75,10.95
1.75,10.97
1.74,10.97
1.75,10.96
1.75,10.96
1.75,10.95
1.75,10.94
1.76,10.94
1.76,10.95
1.76,10.96
1.76,10.97
1.77,10.98
1.77,10.98
1.77,10.99
1.78,10.99
1.79,11
1.79,11
1.79,11
1.79,11
1.8,11.01
1.79,11.02
1.8,11.02
1.8,11.02
1.8,11.02
1.81,11.02
1.81,11.03
1.82,11.03
1.83,11.04
1.83,11.04
1.83,11.05
1.83,11.05
1.84,11.06
1.83,11.06
1.83,11.05
1.82,11.05
1.82,11.05
1.82,11.05
1.81,11.06
1.8,11.05
1.8,11.05
1.8,11.06
1.8,11.06
1.81,11.06
1.82,11.08
1.82,11.09
1.83,11.1
1.83,11.11
1.83,11.12
1.84,11.13
1.84,11.14
1.85,11.14
1.85,11.13
1.85,11.13
1.85,11.12
1.84,11.12
1.84,11.12
1.84,11.11
1.84,11.11
1.85,11.1
1.85,11.1
1.86,11.11
1.87,11.1
1.87,11.1
1.88,11.11
1.88,11.11
1.89,11.11
1.89,11.12
1.9,11.13
1.9,11.13
1.89,11.13
1.89,11.13
1.9,11.13
1.89,11.13
1.89,11.13
1.89,11.14
1.89,11.14
1.88,11.15
1.88,11.15
1.88,11.15
1.88,11.16
1.88,11.16
1.89,11.16
1.89,11.17
1.89,11.17
1.89,11.17
1.9,11.17
1.9,11.18
1.9,11.18
1.9,11.18
1.9,11.17
1.9,11.17
1.9,11.17
1.9,11.17
1.9,11.16
1.9,11.16
1.9,11.16
1.9,11.16
1.91,11.17
1.91,11.17
1.91,11.18
1.91,11.18
1.92,11.19
1.92,11.19
1.92,11.19
1.92,11.2
1.92,11.2
