acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z
-1796, 76, 15328, -234, -159, 651
-1768, 52, 15224, -224, -85, 616
-1824, 204, 15372, -241, -79, 637
-1896, 232, 15396, -189, -68, 667
-2032, 80, 15556, -172, -16, 691
-2052, -84, 15620, -5, 67, 732
-1996, 96, 15508, -102, 70, 747
-2116, 172, 15476, -90, 118, 795
-2192, 300, 15632, -58, 125, 835
-2236, 228, 15536, -57, 116, 924
-2136, 204, 15520, -121, 99, 979
-2212, 168, 15584, -150, 127, 1020
-2356, 200, 15664, -189, 78, 1022
-2252, 88, 15596, -216, 35, 989
-2300, 72, 15684, -236, -69, 938
-2292, 24, 15764, -260, -144, 909
808, -840, 15860, -178, -243, 1066
828, -884, 15896, -142, -246, 1046
816, -680, 15904, -168, -241, 1021
768, -760, 15660, -195, -228, 1016
948, -696, 15660, -226, -226, 1002
772, -764, 15800, -222, -160, 969
864, -692, 15796, -247, -184, 982
876, -712, 15768, -230, -215, 966
792, -616, 15964, -222, -222, 979
832, -628, 15952, -236, -265, 1006
816, -628, 16076, -250, -276, 1059
776, -608, 15976, -261, -319, 1076
768, -680, 15920, -252, -347, 1075
720, -688, 15940, -256, -340, 1092
776, -672, 15804, -296, -351, 1089
792, -768, 15672, -338, -308, 1049
704, -700, 15728, -343, -288, 1031
776, -828, 15804, -367, -254, 1010
688, -828, 15676, -333, -270, 992
692, -796, 15780, -338, -275, 957
816, -888, 15708, -359, -239, 954
784, -848, 15572, -348, -255, 936
864, -852, 15640, -339, -249, 932
884, -900, 15804, -300, -261, 922
864, -816, 15684, -272, -181, 934
908, -852, 15676, -238, -180, 965
756, -932, 15904, -199, -208, 956
880, -812, 15916, -101, -247, 933
868, -808, 15992, -99, -251, 965
924, -764, 15940, -52, -248, 981
892, -788, 16056, -20, -289, 1030
892, -624, 16048, -10, -289, 1049
876, -656, 16100, -10, -333, 1081
812, -560, 16044, -28, -354, 1099
1024, -680, 15956, -43, -317, 1095
920, -624, 16116, -111, -272, 1085
808, -636, 16072, -179, -301, 1090
792, -584, 15876, -209, -291, 1058
816, -740, 15840, -309, -266, 1040
776, -656, 15844, -373, -229, 1001
828, -708, 15856, -392, -191, 1002
748, -756, 15904, -430, -174, 974
848, -856, 15800, -423, -154, 971
732, -884, 15696, -398, -136, 977
700, -924, 15800, -377, -152, 966
712, -864, 15700, -373, -158, 978
836, -860, 15772, -290, -257, 962
800, -840, 15700, -267, -307, 988
776, -764, 15548, -224, -349, 976
916, -920, 15596, -165, -317, 1043
720, -912, 15760, -141, -310, 1029
764, -784, 15604, -86, -329, 1015
776, -756, 15872, -59, -331, 1002
780, -712, 15816, 25, -329, 985
852, -664, 15916, 9, -330, 990
836, -716, 15764, -10, -332, 997
868, -700, 15924, -16, -348, 1039
800, -772, 15808, -31, -367, 1019
864, -704, 15928, -65, -355, 1032
860, -572, 15976, -100, -344, 998
864, -720, 15860, -114, -269, 954
848, -572, 15820, -135, -226, 910
928, -748, 15960, -169, -210, 891
1012, -696, 15896, -243, -203, 900
904, -736, 15936, -281, -217, 931
880, -652, 15956, -302, -220, 963
948, -780, 15920, -338, -249, 984
1012, -820, 15896, -342, -275, 985
904, -840, 15720, -336, -214, 967
836, -892, 15668, -330, -214, 962
852, -952, 15692, -320, -178, 948
820, -848, 15752, -243, -207, 947
700, -844, 15956, -190, -226, 955
860, -868, 15804, -129, -270, 965
896, -692, 15948, -105, -273, 1000
956, -808, 15804, -120, -329, 1050
920, -748, 15820, -134, -350, 1059
952, -716, 15936, -129, -387, 1101
880, -764, 15744, -149, -400, 1117
852, -800, 15916, -178, -414, 1148
900, -816, 15724, -172, -382, 1134
820, -792, 15764, -223, -358, 1102
776, -760, 15796, -250, -317, 1078
796, -724, 15964, -222, -303, 1035
844, -832, 15796, -260, -320, 1018
824, -792, 15932, -270, -274, 1009
772, -680, 16048, -308, -295, 982
960, -720, 15800, -327, -263, 934
924, -772, 15816, -344, -256, 938
948, -816, 15840, -344, -243, 887
992, -756, 16004, -389, -213, 897
912, -804, 15980, -427, -187, 908
916, -752, 16028, -430, -236, 935
924, -868, 15912, -413, -227, 948
876, -736, 15896, -430, -227, 956
996, -900, 15896, -401, -207, 979
1048, -844, 15808, -378, -210, 973
868, -920, 15880, -338, -173, 1015
964, -828, 15912, -318, -186, 1012
1000, -924, 15908, -292, -140, 979
1044, -744, 15752, -285, -168, 1025
944, -836, 15932, -245, -183, 1037
832, -988, 15904, -262, -194, 1067
848, -800, 15788, -275, -208, 1080
928, -848, 15872, -263, -235, 1078
920, -788, 15984, -260, -239, 1088
1000, -780, 15868, -254, -221, 1092
824, -776, 15828, -262, -222, 1127
832, -752, 15908, -205, -215, 1111
920, -860, 15836, -186, -249, 1124
844, -804, 15932, -172, -263, 1096
788, -816, 15704, -182, -238, 1105
792, -704, 15684, -156, -232, 1066
756, -884, 15668, -123, -256, 1075
872, -768, 15732, -78, -273, 1065
792, -716, 15784, -72, -297, 1041
716, -832, 15792, -67, -279, 1035
772, -864, 15696, -68, -284, 1072
844, -784, 15736, -92, -310, 1046
756, -736, 15732, -117, -307, 1047
864, -764, 15644, -135, -282, 1059
728, -700, 15772, -139, -260, 1017
760, -784, 15868, -125, -241, 1010
804, -760, 15664, -106, -236, 996
756, -832, 15804, -107, -256, 984
820, -840, 15688, -109, -310, 961
936, -800, 15792, -101, -309, 975
876, -852, 15752, -158, -313, 981
964, -840, 15896, -148, -285, 1010
